username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
richatmango;2017-06-20 16:22;3;4;"#EARLconf2017 #London agenda announced and it's epic: https:// earlconf.com/downloads/lond on/EARL-London-2017-Agenda.pdf … Use code "MANGO17RP" to get some ££ off #datascience #rstats";;;#EARLconf2017 #London #datascience #rstats;"877184843070754816";https://twitter.com/richatmango/status/877184843070754816
earlconf;2017-06-20 10:37;7;3;"We're excited to publish the EARL #London agenda. Check out the excellent speaker lineup: http:// bit.ly/2tjNmQs #EARLConf2017 #rstats pic.twitter.com/0Z9UC18zSf";;;#London #EARLConf2017 #rstats;"877098048639430656";https://twitter.com/earlconf/status/877098048639430656
mdancho84;2017-06-17 20:31;3;4;"Check out our enterprise #rstats presentation from @earlconf / #EARLConf2017 ! Now on YouTube! #tidyquant #DataScience #dataviz https:// twitter.com/bizScienc/stat us/876159695333076992 …";;@earlconf;#rstats #EARLConf2017 #tidyquant #DataScience #dataviz;"876160507765559296";https://twitter.com/mdancho84/status/876160507765559296
mdancho84;2017-06-17 19:57;1;6;"Check out our 3-part talk at #earlconf2017 covering #tidyquant , timekit & enterprise solutions with... http:// youtu.be/8BYjv1AKI1Y?a";;;#earlconf2017 #tidyquant;"876151880606515201";https://twitter.com/mdancho84/status/876151880606515201
revodavid;2017-06-16 21:34;12;27;"Overview of some of the real-world R applications presented at #EARLConf2017 http:// blog.revolutionanalytics.com/2017/06/applic ations-earl-sf-2017.html … #rstats";;;#EARLConf2017 #rstats;"875813942530109440";https://twitter.com/revodavid/status/875813942530109440
revodavid;2017-06-16 21:05;0;0;"@earino did you publish your slides from #EARLConf2017 ? Not finding them at https:// earlconf.com/sanfrancisco/";;@earino;#EARLConf2017;"875806480053805057";https://twitter.com/revodavid/status/875806480053805057
MangoTheCat;2017-06-16 15:13;6;5;"Presentations from last week's #EARLConf2017 now available #rstats https:// twitter.com/earlconf/statu s/875702520416436224 …";;;#EARLConf2017 #rstats;"875718004981608448";https://twitter.com/MangoTheCat/status/875718004981608448
earlconf;2017-06-16 14:12;3;5;"Looking for the presentations from #EARLConf2017 ? They're up on our website now (just click on the presenter): https:// earlconf.com/sanfrancisco/";;;#EARLConf2017;"875702520416436224";https://twitter.com/earlconf/status/875702520416436224
hspter;2017-06-15 23:53;15;61;"Finally added my slides from my #EARLConf2017 ! Similar spirit to my talk at rstudio::conf, with more examples https://www. slideshare.net/hilaryparker/o pinionated-analysis-development-earl-sf-keynote …";;;#EARLConf2017;"875486409506791425";https://twitter.com/hspter/status/875486409506791425
groundwalkergmb;2017-06-12 15:19;3;12;"My #EARLConf2017 slides on balancing + improving reproducibility, discoverability, and comparability: https://www. slideshare.net/GabrielBecker1 1/enhancing-reproducibility-comparability-and-discoverability-of-results-in-multianalyst-settings … cc @psodreh";;@psodreh;#EARLConf2017;"874269891146129414";https://twitter.com/groundwalkergmb/status/874269891146129414
sellorm;2017-06-11 16:50;0;0;"Was in San Francisco last week for #EARLConf2017 and it seems that almost nobody has seen this... https:// youtu.be/no7XR7s8Z7o";;;#EARLConf2017;"873930492437045249";https://twitter.com/sellorm/status/873930492437045249
PWaryszak;2017-06-10 22:01;0;1;"@earlconf You've been quoted in my #Storify story " #EARLconf2017 Highlights" https:// storify.com/PWaryszak/earl conf2017-highlights …";;@earlconf;#Storify #EARLconf2017;"873646427628597248";https://twitter.com/PWaryszak/status/873646427628597248
PWaryszak;2017-06-09 19:48;0;1;"Super #EARLConf2017 slideshare by @LouBajuk On Why & How Buisiness supports open source #R - Statistical Programming Software. https:// twitter.com/LouBajuk/statu s/872580524589539328 …";;@LouBajuk;#EARLConf2017 #R;"873250462161678337";https://twitter.com/PWaryszak/status/873250462161678337
MangoMattGlover;2017-06-09 16:41;1;4;"What a great #EARLConf2017 in San Francisco! Great keynotes and presentations! Next up, London EARL 2017! #rstats";;;#EARLConf2017 #rstats;"873203526171852801";https://twitter.com/MangoMattGlover/status/873203526171852801
groundwalkergmb;2017-06-09 16:37;2;6;"For anyone who was at my #EARLConf2017 talk + took time to watch this, I'm interested in opins/feedback on the 2 diff talk/slidedeck styles https:// twitter.com/groundwalkergm b/status/872918368319266816 …";;;#EARLConf2017;"873202505693315072";https://twitter.com/groundwalkergmb/status/873202505693315072
zakariaCatapult;2017-06-09 15:55;1;4;"Just learned how to do that at #EARLConf2017 few days ago. Thanks @bashlee_R https:// twitter.com/kearneymw/stat us/872844504696582146 …";;@bashlee_R;#EARLConf2017;"873191826886455296";https://twitter.com/zakariaCatapult/status/873191826886455296
