username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LouBajuk;2017-09-14 12:43;1;2;"Thanks to #EARL2017 for the opportunity to give an update on the great work the @RConsortium is doing. https://www. slideshare.net/mobile/loubaju kyorgan/r-consortium-update-earl-london-sept-2017 … pic.twitter.com/agwCstUfPt";;@RConsortium;#EARL2017;"908295253920305153";https://twitter.com/LouBajuk/status/908295253920305153
LouBajuk;2017-09-14 12:24;1;0;". @TIBCO 's @loubajuk will be discussing how the @RConsortium helps create vital infrastructure for the R community at #London #EARL2017 . pic.twitter.com/hNDzsXH24N";;@TIBCO @loubajuk @RConsortium;#London #EARL2017;"908290248848826369";https://twitter.com/LouBajuk/status/908290248848826369
LouBajuk;2017-09-14 12:14;1;0;"Why an R operating model is important for your enterprise, from @sellorm at #EARL2017 pic.twitter.com/knE4jsFoLb";;@sellorm;#EARL2017;"908287758137008128";https://twitter.com/LouBajuk/status/908287758137008128
LouBajuk;2017-09-14 12:11;2;3;". @sellorm from @MangoTheCat gives a comprehensive (and visually engaging) ppt on an R Operating Model for the Enterprise #EARL2017 pic.twitter.com/8CXzNb6nN6";;@sellorm @MangoTheCat;#EARL2017;"908287145407901696";https://twitter.com/LouBajuk/status/908287145407901696
LouBajuk;2017-09-14 11:28;1;1;"Always good advice: "be as close as possible to the decision makers when building a model"--to make sure it's actually useful. #EARL2017";;;#EARL2017;"908276214720327680";https://twitter.com/LouBajuk/status/908276214720327680
LouBajuk;2017-09-14 11:17;1;5;"Alex Campbell at Receipt Bank on RFM analysis for Customer Segmentation--very clear & useful presentation of an analysis #EARL2017 pic.twitter.com/oYdr5yu2lg";;;#EARL2017;"908273489991409664";https://twitter.com/LouBajuk/status/908273489991409664
LouBajuk;2017-09-13 16:47;3;5;". @peak_bi considered various solutions to put their R ML models into production #EARL2017 pic.twitter.com/N4EdSNGqU1";;@peak_bi;#EARL2017;"907994237177929728";https://twitter.com/LouBajuk/status/907994237177929728
LouBajuk;2017-09-13 16:44;1;3;". @peak_bi tried various ML algorithms to score leads for a car buying service, settled on xgboost. Drove 25% increase in revenue #EARL2017 pic.twitter.com/VpQfJFE8Od";;@peak_bi;#EARL2017;"907993414179975170";https://twitter.com/LouBajuk/status/907993414179975170
LouBajuk;2017-09-13 16:24;1;2;"Great overview of using R for cash flow modeling by @richatmango #EARL2017 pic.twitter.com/ge0tgEZMCq";;@richatmango;#EARL2017;"907988429178331141";https://twitter.com/LouBajuk/status/907988429178331141
LouBajuk;2017-09-13 16:03;1;2;"Thanks to everyone who attended my talk on Making Data Science Accessible at #earl2017 today. Here are my slides. https://www. slideshare.net/secret/83Gy4Xr EqR6VCO …";;;#earl2017;"907983198931562496";https://twitter.com/LouBajuk/status/907983198931562496
LouBajuk;2017-09-13 15:55;1;1;"Role of people in a successful project is too often neglected in a presentation. Great to see this in the PartnerRe presentation #EARL2017 pic.twitter.com/XW5Ip74bTv";;;#EARL2017;"907981085912567808";https://twitter.com/LouBajuk/status/907981085912567808
LouBajuk;2017-09-13 15:47;1;2;"ParrnerRe's process for using R for ReInsurance pricing #EARL2017 pic.twitter.com/XIKwibRpGF";;;#EARL2017;"907978966086115328";https://twitter.com/LouBajuk/status/907978966086115328
LouBajuk;2017-09-13 15:45;2;3;"Great summary of why PartnerRe uses R for Life ReInsurance pricing (and why R is used by many companies for many applications) #EARL2017 pic.twitter.com/DgJ63ItLN0";;;#EARL2017;"907978434189684736";https://twitter.com/LouBajuk/status/907978434189684736
dmi3k;2017-09-13 09:03;1;4;"Exciting!! @earlconf #EARL2017 pic.twitter.com/XMjhnRgUNt";;@earlconf;#EARL2017;"907877406291230721";https://twitter.com/dmi3k/status/907877406291230721
erich_gerber;2017-09-12 23:43;1;2;". @TIBCO 's @loubajuk will be discussing how the @RConsortium helps create vital infrastructure for the R community at #London #EARL2017 . pic.twitter.com/4NRJMRB4DE";;@TIBCO @loubajuk @RConsortium;#London #EARL2017;"907736405979176961";https://twitter.com/erich_gerber/status/907736405979176961
G0RAN_J0HANSS0N;2017-09-12 20:15;0;1;". @TIBCO 's @loubajuk will be discussing how the @RConsortium helps create vital infrastructure for the R community at #London #EARL2017 . pic.twitter.com/BtEssXVsjK";;@TIBCO @loubajuk @RConsortium;#London #EARL2017;"907684107236237312";https://twitter.com/G0RAN_J0HANSS0N/status/907684107236237312
andrew_weekm;2017-09-12 18:22;0;0;". @TIBCO 's @loubajuk will be discussing how the @RConsortium helps create vital infrastructure for the R community at #London #EARL2017 . pic.twitter.com/LrmpQrQeby";;@TIBCO @loubajuk @RConsortium;#London #EARL2017;"907655771504091136";https://twitter.com/andrew_weekm/status/907655771504091136
TIBCO;2017-09-12 18:01;0;0;". @TIBCO 's @loubajuk will be discussing how the @RConsortium helps create vital infrastructure for the R community at #London #EARL2017 . pic.twitter.com/iNPbosM9Dh";;@TIBCO @loubajuk @RConsortium;#London #EARL2017;"907650457610407936";https://twitter.com/TIBCO/status/907650457610407936
djeda1959;2017-09-12 15:33;2;2;". @TIBCO 's @loubajuk will be discussing how the @RConsortium helps create vital infrastructure for the R community at #London #EARL2017 . pic.twitter.com/IJJdTA1FxR";;@TIBCO @loubajuk @RConsortium;#London #EARL2017;"907613226052890624";https://twitter.com/djeda1959/status/907613226052890624
dmi3k;2017-09-12 14:48;2;4;"Shiny wisdom @earlconf with @aimeegott_R #earl2017 pic.twitter.com/cXRlv0lbmR";;@earlconf @aimeegott_R;#earl2017;"907601903411965953";https://twitter.com/dmi3k/status/907601903411965953
dmi3k;2017-09-12 12:49;3;11;"Awesome workshop on writing functions by @JennyBryan at @earlconf #earl2017 pic.twitter.com/D5LlZQpi48";;@JennyBryan @earlconf;#earl2017;"907571935680364544";https://twitter.com/dmi3k/status/907571935680364544
amandadailey_;2017-09-07 04:21;0;0;"Earl where ya at #stillwaiting #earl2017";;;#stillwaiting #earl2017;"905632210429984768";https://twitter.com/amandadailey_/status/905632210429984768
LearnRinaDay;2017-09-06 21:53;3;7;"Preview of EARL London 2017: https://www. r-bloggers.com/mapping-the-la rgest-cities-in-asia-using-r/ … #rstats #EARL2017 #coding #programming #conference #BigData #OpenSource #DataScience #R";;;#rstats #EARL2017 #coding #programming #conference #BigData #OpenSource #DataScience #R;"905534442726461444";https://twitter.com/LearnRinaDay/status/905534442726461444
amandadailey_;2017-09-06 18:28;0;0;"Love this time of year #earl2017";;;#earl2017;"905482852636254208";https://twitter.com/amandadailey_/status/905482852636254208
JDorbeaux;2017-08-02 10:27;0;0;"#earl2017 #earlforpresident";;;#earl2017 #earlforpresident;"892678238387838976";https://twitter.com/JDorbeaux/status/892678238387838976
davidejansen;2017-06-29 15:36;0;2;"How R Powers Data Science at Microsoft http:// buff.ly/2u0rc6a #rstats #EARL2017 #datascience pic.twitter.com/Ynjx4PB5OM";;;#rstats #EARL2017 #datascience;"880434698559909889";https://twitter.com/davidejansen/status/880434698559909889
DD_Thoughtflow;2017-06-16 14:14;1;0;"Thoughtful discussion of #EARL2017 talk by @groundwalkergmb (thread). #Thoughtflow can indeed deliver, but still a ways to go https:// twitter.com/MikeKSmith/sta tus/875664529975324673 …";;@groundwalkergmb;#EARL2017 #Thoughtflow;"875703077231263744";https://twitter.com/DD_Thoughtflow/status/875703077231263744
AriLamstein;2017-06-08 03:36;2;7;"San Francisco #EARL2017 was great! Wonderful group of speakers and attendees. I hope that there's another one next year! #rstats #ThankYou";;;#EARL2017 #rstats #ThankYou;"872643454131609600";https://twitter.com/AriLamstein/status/872643454131609600
LouBajuk;2017-06-07 23:26;2;1;"Slides from my talk today on the @RConsortium , and why @TIBCO is a part of it, from #EARL2017 https://www. slideshare.net/loubajukyorgan /r-consortium-update-for-earl-june-2017 …";;@RConsortium @TIBCO;#EARL2017;"872580524589539328";https://twitter.com/LouBajuk/status/872580524589539328
LouBajuk;2017-06-07 22:21;1;2;"Great talk from @AriLamstein on http:// MonetizingRPackages.com #EARL2017";;@AriLamstein;#EARL2017;"872564205760651265";https://twitter.com/LouBajuk/status/872564205760651265
LouBajuk;2017-06-07 22:02;3;5;"Great talk from @AriLamstein on monetizing #rstats packages #EARL2017 pic.twitter.com/S2pg3eTyYt";;@AriLamstein;#rstats #EARL2017;"872559529971531777";https://twitter.com/LouBajuk/status/872559529971531777
